"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 13 12:28:17 GMT 2023","Fri Oct 13 12:28:17 GMT 2023","287","","Validação do logo pagina home","","","","Validar clicar na logo já estando na página principal",""
"failed","Fri Oct 13 12:28:14 GMT 2023","Fri Oct 13 12:28:14 GMT 2023","304","","Validação grid system","","","","Validar responsividade de cada modelo (example #2)",""
"failed","Fri Oct 13 12:28:14 GMT 2023","Fri Oct 13 12:28:14 GMT 2023","235","","Validação grid system","","","","Validar responsividade de cada modelo (example #3)",""
"failed","Fri Oct 13 12:28:14 GMT 2023","Fri Oct 13 12:28:15 GMT 2023","410","","Validação grid system","","","","Validar responsividade de cada modelo (example #4)",""
"failed","Fri Oct 13 12:28:17 GMT 2023","Fri Oct 13 12:28:17 GMT 2023","225","","Validação do logo pagina home","","","","Validar redirecionamento ao clicar no logo",""
"failed","Fri Oct 13 12:28:11 GMT 2023","Fri Oct 13 12:28:11 GMT 2023","416","","Validação Banner","","","","Deve validar o baner axa seguradora oficial",""
"failed","Fri Oct 13 12:28:17 GMT 2023","Fri Oct 13 12:28:18 GMT 2023","440","","Validação do logo pagina home","","","","Validar imagem visual do logo",""
"failed","Fri Oct 13 12:28:08 GMT 2023","Fri Oct 13 12:28:08 GMT 2023","345","","Validar acessibilidade da home","","","","Validar acessibilidade portal",""
"failed","Fri Oct 13 12:28:13 GMT 2023","Fri Oct 13 12:28:14 GMT 2023","222","","Validação grid system","","","","Validar responsividade de cada modelo (example #1)",""
"failed","Fri Oct 13 12:28:10 GMT 2023","Fri Oct 13 12:28:11 GMT 2023","245","","Validação Banner","","","","Deve validar o baner do portal",""
